model,year,price,type,distance,fuel,tax,miles per galoon,size
2,2017,25500.0,2,14834.0,0,145.0,51.4,3.0
4,2018,23998.0,2,14052.0,0,145.0,62.8,2.0
3,2017,19498.0,2,28912.0,0,145.0,65.7,2.0
4,2017,22498.0,2,19864.0,0,145.0,65.7,2.0
2,2017,20498.0,0,17521.0,0,145.0,53.3,3.0
4,2019,36500.0,2,4971.0,0,145.0,55.4,2.0
1,2017,10900.0,1,62021.0,0,145.0,65.7,2.0
4,2017,30000.0,2,11086.0,0,145.0,53.3,3.0
15,2019,49000.0,2,4860.0,0,145.0,37.7,3.0
2,2017,17950.0,0,43703.0,2,140.0,104.0847498788246,2.0
12,2019,24998.0,1,4174.0,0,145.0,48.7,2.0
0,2015,11950.0,2,67500.0,0,20.0,67.3,2.0
6,2019,47000.0,2,5113.0,0,145.0,44.1,3.0
13,2016,21750.0,0,19083.0,0,150.0,54.3,2.0
2,2016,21498.0,2,28775.0,0,160.0,51.4,3.0
4,2017,21900.0,2,38649.0,0,145.0,65.7,2.0
0,2016,13400.0,1,18055.0,3,125.0,52.3,1.5
2,2019,27498.0,2,14793.0,0,145.0,48.7,2.0
0,2016,15498.0,1,20233.0,0,30.0,62.8,2.0
4,2016,14000.0,0,39235.0,0,30.0,62.8,2.0
3,2019,32000.0,2,4025.0,0,145.0,50.4,3.0
0,2015,16450.0,2,25499.0,0,125.0,60.1,2.0
0,2016,13750.0,0,8707.0,3,30.0,55.5,1.5
2,2019,35998.0,2,9632.0,0,145.0,49.6,2.0
1,2015,19898.0,2,11711.0,3,260.0,37.2,3.0
2,2018,25990.0,2,8344.0,0,145.0,53.3,3.0
0,2017,12498.0,1,14138.0,0,20.0,72.4,1.5
2,2016,13994.0,2,46889.0,0,30.0,67.3,2.0
1,2019,23500.0,2,2664.0,3,145.0,50.4,2.0
2,2018,15700.0,0,29394.0,3,145.0,48.7,2.0
2,2016,18998.0,0,24709.0,0,145.0,53.3,3.0
2,2017,19998.0,2,24059.0,0,150.0,53.3,3.0
4,2017,23998.0,2,13373.0,0,145.0,65.7,2.0
2,2016,16300.0,0,34623.0,0,125.0,57.6,2.0
10,2019,48000.0,2,2258.0,3,145.0,34.0,3.0
13,2016,18990.0,2,12996.0,0,150.0,54.3,2.0
1,2020,27998.0,1,1580.0,3,150.0,43.5,1.5
3,2017,21998.0,0,13941.0,3,145.0,48.7,2.0
3,2019,30898.0,2,6123.0,0,150.0,49.6,3.0
4,2017,24298.0,2,13863.0,0,145.0,60.1,2.0
13,2013,12750.0,0,71558.0,0,160.0,50.4,2.0
4,2016,14495.0,2,51700.0,0,30.0,65.7,2.0
11,2018,21500.0,2,12710.0,3,145.0,44.8,2.0
2,2017,16998.0,2,8096.0,3,145.0,51.4,2.0
4,2019,26798.0,2,16128.0,0,145.0,60.1,2.0
2,2017,19991.0,2,27123.0,0,145.0,62.8,2.0
4,2016,14250.0,0,36099.0,0,20.0,68.9,2.0
2,2018,22500.0,2,11150.0,3,145.0,48.7,2.0
11,2017,18998.0,2,26939.0,0,145.0,65.7,2.0
2,2019,27998.0,2,9624.0,0,150.0,52.3,2.0
0,2019,14698.0,1,14847.0,0,150.0,72.4,1.5
0,2016,14991.0,1,7000.0,0,30.0,65.7,2.0
2,2018,21898.0,2,6425.0,3,145.0,48.7,2.0
1,2015,10500.0,1,31469.0,0,20.0,68.9,2.0
